ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1668436254,C5ljMa26WinCrukrKe,5.8.18.45,56140,45.77.119.176,9399,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436255,CyC2JY1EcDXbKv0vH8,78.128.113.250,53260,45.77.119.176,9095,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436258,CLuo751xIH6Xl8duOf,121.15.143.46,59778,45.77.119.176,6379,tcp,-,-,-,-,S0,F,T,0,S,1,60,0,0,-
1668436262,CEGKYMM6OaWsygXFc,79.124.62.86,53206,45.77.119.176,3397,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436263,Coc13C1qvDAUj4pEv1,46.161.27.85,53987,45.77.119.176,48719,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436263,CQS0QV1E8yPJii4Wif,5.188.87.3,46421,45.77.119.176,12214,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436264,CF0vB9ommicS7tse7,207.154.220.152,61953,45.77.119.176,8885,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436273,Ckgzh6wB8vEbdFFz4,91.240.118.224,53607,45.77.119.176,2597,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436278,CFgkW9EoytmTdeilc,207.102.188.178,2098,45.77.119.176,52869,tcp,-,-,-,-,S0,F,T,0,S,1,44,0,0,-
1668436281,CJIl5F3WH9aLGa7CR9,141.98.10.171,40328,45.77.119.176,21017,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436284,CRpKD73xHyoWSZj4h,89.248.165.110,42063,45.77.119.176,13158,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436303,Cki7E23NvmBSQcUWXh,2001:19f0:9002:1a12:5400:4ff:fe35:47d3,51392,2001:67c:1562::26,80,tcp,-,-,-,-,OTH,F,F,0,C,0,0,0,0,-
1668436299,CugWBNMYjtfvSwp4,5.188.206.254,54653,45.77.119.176,28493,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436303,CIuD7x3LGG6daubZ98,2001:19f0:9002:1a12:5400:4ff:fe35:47d3,51392,2001:67c:1562::26,80,tcp,-,0.37233,0,1591311,SHR,F,F,0,^hCacCcdCcf,0,0,78,1000940,-
1668436304,CsMvxMzEQNkVVH3s,92.63.197.83,46756,45.77.119.176,11336,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436303,CV42zlY5m4PzutZJj,45.77.119.176,57353,108.61.10.10,53,udp,dns,0.000671,0,129,SHR,T,F,0,Cd,0,0,1,157,-
1668436255,CDC8Yu4aS7coTESxS3,192.241.198.37,58175,45.77.119.176,23,udp,-,-,-,-,S0,F,T,0,D,1,51,0,0,-
1668436312,CcuGgR1g2QVlAFpCof,45.227.253.99,46783,45.77.119.176,25384,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436314,Cqit5w1y4FUs1JJcN5,5.8.18.85,55314,45.77.119.176,22332,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436317,CFcTlm3MO4GoLwek7,45.143.200.102,47058,45.77.119.176,12394,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436318,C410bf2Y1IfSbYj6u3,79.124.62.82,53203,45.77.119.176,3392,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436327,CuMkzZ2twNEvVrkRK3,178.124.182.135,50144,45.77.119.176,445,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436330,CBZNOe41noSCWqo8r3,167.94.146.27,4158,45.77.119.176,26423,tcp,-,-,-,-,S0,F,T,0,S,1,44,0,0,-
1668436332,C5zHbc4lt2fE6osbRa,45.227.253.99,46783,45.77.119.176,27864,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436335,CmRLtv3knAzCofStQ9,174.95.148.163,58075,45.77.119.176,80,tcp,-,3.014236,0,0,S0,F,T,0,S,3,156,0,0,-
1668436335,CNhKuL28FDu2nEcPCh,174.95.148.163,58076,45.77.119.176,80,tcp,-,3.013667,0,0,S0,F,T,0,S,3,156,0,0,-
1668436335,C5YFlS3UgZDVSM129f,174.95.148.163,58080,45.77.119.176,80,tcp,-,3.019947,0,0,S0,F,T,0,S,3,156,0,0,-
1668436342,CXbb4Mf5FCl63L2p3,46.161.27.85,53987,45.77.119.176,29337,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436342,Ce9bBp3fkOPnmluOS4,174.95.148.163,58075,45.77.119.176,80,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436342,CeaeUAKDvoNe9M7Y,174.95.148.163,58076,45.77.119.176,80,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436342,CifVYI2romrI3HTrY,174.95.148.163,58080,45.77.119.176,80,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436350,CDJ3axeeb2sQprRV7,174.95.148.163,58075,45.77.119.176,80,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436350,C9UAWl4VnyqrlX49M6,174.95.148.163,58076,45.77.119.176,80,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436350,CBctM4rs2c0D9U6je,174.95.148.163,58080,45.77.119.176,80,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436303,CcOtRy32SOjll1Ev77,fe80::fc00:4ff:fe35:47d3,135,ff02::1:ff35:47d3,136,icmp,-,-,-,-,OTH,F,F,0,-,1,72,0,0,-
1668436303,CLmedC1YxalAT5An7f,2001:19f0:9002:1a12:5400:4ff:fe35:47d3,136,fe80::fc00:4ff:fe35:47d3,135,icmp,-,-,-,-,OTH,F,F,0,-,1,72,0,0,-
1668436379,CAPRyy1ObCwdcHJT01,217.144.216.23,47467,45.77.119.176,23,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436382,ChUuWd3RqfdKY7tCk1,194.26.29.37,53574,45.77.119.176,50010,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436386,CkxrN412cSDhE1llac,45.227.253.99,46783,45.77.119.176,3207,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436396,CcJRFo1geqvrjmPP46,167.94.138.150,41324,45.77.119.176,12467,tcp,-,-,-,-,S0,F,T,0,S,1,44,0,0,-
1668436402,CDRxXE3eFxLyx7xF5j,92.63.197.131,44262,45.77.119.176,37096,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436402,CoIm981Z3wNYI9nPs5,174.95.148.163,58176,45.77.119.176,80,tcp,http,0.322329,1225,0,S0,F,T,0,ScAD,11,1701,0,0,-
1668436402,CNuFu62vstyccRYBpe,174.95.148.163,58177,45.77.119.176,80,tcp,-,0.056225,0,0,S0,F,T,0,ScA,2,92,0,0,-
1668436403,C4wxyJ3e2DqSqXc1wf,79.124.62.78,53209,45.77.119.176,5000,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436409,CCV0B6mm3LtUIwSC7,185.156.73.150,46283,45.77.119.176,9573,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436407,C0CPOr1O9X4QZ48Cih,174.95.148.163,58176,45.77.119.176,80,tcp,-,4.627575,0,0,SH,F,T,0,^cAF,2,80,0,0,-
1668436413,CAuV5J1tIwD0wv3UF6,222.132.52.26,56304,45.77.119.176,2376,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436366,CbCURPuFoEcCiyCcb,192.241.208.66,38502,45.77.119.176,80,udp,-,-,-,-,S0,F,T,0,D,1,51,0,0,-
1668436421,CmCLM34opjFB6fczHf,190.224.73.16,33065,45.77.119.176,22,tcp,-,3.167456,0,0,RSTOS0,F,T,0,ScR,2,84,0,0,-
1668436425,CqDYXl4uDu8s6yt5A4,123.231.178.67,58801,45.77.119.176,445,tcp,-,-,-,-,S0,F,T,0,S,1,52,0,0,-
1668436428,CzB7Ls3ZYYhrX2ycK9,91.191.209.14,54617,45.77.119.176,41170,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436429,Cjl5bt2oe2s5dxnJ0g,46.161.27.85,53987,45.77.119.176,19622,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436430,C1aGtW1OQ0cokONKHk,45.95.147.208,42637,45.77.119.176,23367,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436434,CYxD2x2uWmngKYMfE4,91.240.118.71,53411,45.77.119.176,4079,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436435,CM1viW4ZX64EkX713,190.224.73.16,55748,45.77.119.176,22,tcp,-,3.590158,1756,0,SH,F,T,0,ScADcF,16,2596,0,0,-
1668436434,CkatqG1WK5PiUdxRkc,190.224.73.16,55744,45.77.119.176,22,tcp,-,3.622206,1692,0,SH,F,T,0,ScADcF,16,2532,0,0,-
1668436442,COE7jA3MdOWAHj4Yn7,5.188.87.3,46421,45.77.119.176,11860,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436445,CPQps647ms9eNpWDGk,184.105.139.74,40551,45.77.119.176,789,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436448,C8GXwH32JbaO07R8i2,72.167.42.59,60000,45.77.119.176,10055,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436449,CVKVhO104hwIj6sEcg,185.156.73.150,46283,45.77.119.176,9389,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436449,CJvK334mTa3XRRrCqf,24.88.242.126,25040,45.77.119.176,37215,tcp,-,-,-,-,S0,F,T,0,S,1,44,0,0,-
1668436453,CZi7fs2ny8WxBj2Fzb,103.164.3.194,57270,45.77.119.176,3384,tcp,-,3.003576,0,0,S0,F,T,0,S,2,104,0,0,-
1668436458,Cf3ngc3GvVTyjxyEze,103.164.3.194,58121,45.77.119.176,3385,tcp,-,3.004328,0,0,S0,F,T,0,S,2,104,0,0,-
1668436459,CVQJ6O3UalY10BDQOl,185.237.96.28,44104,45.77.119.176,81,tcp,-,-,-,-,S0,F,T,0,S,1,40,0,0,-
1668436463,CiICwasua93hGr4Nl,103.164.3.194,58994,45.77.119.176,3386,tcp,-,2.995325,0,0,S0,F,T,0,S,2,104,0,0,-
